name,lat,lon
Shankar Vihar Prachin Hanuman Mandir,28.63876,77.2878
South Dheeraj,28.62619,77.28514
Rajdhani Nikunj Apartment Patparganj,28.63448,77.3017
Manita Niwas,28.63029,77.2828
Patparganj,28.63201,77.30261
Preet Vihar,28.6339,77.29022
Deepti Store,28.64119,77.29115
Millan Vihar,28.63269,77.30741
Morya Cloth House,28.63613,77.2791
Hargobind Enclave Gate No 2,28.64794,77.30205
Rama Krishna Apartment,28.63419,77.29852
Maitry Apr Ents,28.63255,77.29867
Prashant Apartments,28.64308,77.28381
The Navodit Co-Operative Urban Thrift & Credit Society,28.64929,77.28973
Vahis Fast Food,28.64128,77.29141
Saraswati Kunj Apartment,28.62972,77.30407
Meena Apartments,28.6335,77.30033
Goyal Bhawan,28.63719,77.28276
Minarchitra Vihar,28.6425,77.28689
Sukh Vihar-Gate No. 2,28.64665,77.28813
Laxmi Deep Building,28.63768,77.28574
Shah STD Shop,28.64095,77.29105
Karishma Apartment,28.62782,77.30277
Durga Apartments,28.64158,77.28372
Laxmi Nagar,28.63239,77.28
Mahalaxmi Apartment,28.63746,77.27971
Gouri Shanker Builder Site 2,28.63293,77.28005
Gagan Vihar,28.6445,77.29286
Associated Apartment D Block,28.63184,77.30151
Anarkali Garden,28.64949,77.29231
Rajdhani Enclave,28.64139,77.2948
Maitri Apartments,28.63202,77.29862
Mandawali Gayatri Niwas,28.6267,77.29189
Rajdhani Nikunj Society,28.63522,77.30107
Preet Vihar,28.64763,77.2922
Ganpati House,28.63341,77.28398
Saibaba Charitable Society,28.64327,77.28246
Sai Apartment,28.62877,77.28389
Delhi Rajdhani Apartments,28.63087,77.30027
Barat Ghar,28.6229,77.29295
Maduban Colony,28.62982,77.28614
Pharma Apartment,28.63395,77.30051
Shri Ganesh Apartments,28.63397,77.30501
Vandana Apartments,28.63195,77.30431
Krishna Estates,28.64232,77.29598
Brindavanam Service Apartment,28.63483,77.28202
Gagan Vihar the Aviation Employees CGHS,28.6459,77.29644
T. K. Agencies,28.639,77.28055
Hargobind Enclave Gate No 1,28.64639,77.30143
Rama's,28.64145,77.28299
Goyal Shop,28.6412,77.29115
Perfect Man Parlour,28.63701,77.27792
Al Latif Building,28.64377,77.27924
Priyadarshini East End Enclave,28.64177,77.28107
Bhati Niwas,28.63297,77.2856
Raj Niwas,28.62819,77.28287
Mithala Transport,28.63789,77.28463
Swasthya Vihar Apartments,28.63982,77.2887
Lakhi Society,28.62701,77.29335
White House,28.6256,77.30211
Dayal Sons,28.6348,77.27908
Jeet Electricals,28.63875,77.27915
VRC Campus,28.6461,77.30186
Gaurav Apartment,28.63362,77.30525
Puja Apartment,28.6331,77.29998
Vaibhav House,28.62469,77.29854
Choudhary Bhagwat Pehalwan Building,28.62926,77.29708
Sukh Vihar-Gate No. 1,28.64675,77.2882
Rama Krishna Vihar Apartment,28.63592,77.29892
SRS Homes,28.63708,77.27897
Trilok Apartments,28.63773,77.30135
Gupta Furniture,28.63599,77.27942
Anamika Apartments,28.63742,77.30233
Shri Ram Shop,28.64293,77.29607
Ukh Vihar,28.64304,77.28581
Sai Ram Education & Welfare Society,28.63281,77.28105
D. K. Enterprises,28.63551,77.27909
Adharshila Apartment,28.62919,77.2972
Taxico Travel Service,28.6412,77.29115
Bses Yamuna Power,28.6268,77.28716
Telephone Kendra Agcr Enclave,28.65089,77.29595
Sa Noria Associates,28.62863,77.28277
Nirman Vihar,28.63683,77.28269
Swast House,28.64007,77.29315
Vidisha Apartment,28.63688,77.29933
Bhogk Complex,28.63586,77.28577
Sadbhawana Apartment,28.62258,77.28985
Rinku Building,28.64683,77.2826
A G C R Enclave,28.64668,77.3003
Panchal Vihar,28.64004,77.28304
Kottakkal Ayurvedic Hospital & Research Centre,28.6479,77.29737
Jai Apartment,28.63487,77.30402
Gautam Niwas,28.62274,77.29315
Uttaranchal Bhawan,28.62721,77.29984
Sai Bhawan Building,28.63215,77.27914
Vidhuat Apartments,28.63677,77.30064
Jarat Vihar,28.64338,77.28802
Unesco Apartments,28.63195,77.30431
Padma Niwas,28.62984,77.28405
Mayur Dhwaj Apartment,28.63264,77.30242
V. R. C. Building,28.64502,77.30357
Classic House,28.63076,77.28402
Takshshila Apartment-Main Gate,28.62852,77.30474
Hargovind Enclave Bus Stop,28.64582,77.3007
Gyan Kunj,28.64032,77.27918
Ramshri Niwas,28.62622,77.30259
Park End Colony,28.64306,77.29687
Shivani Apartment,28.63362,77.30524
Metro Apartment,28.63097,77.30086
Bali House,28.63337,77.28485
Rwa Preet Vihar Block A,28.63408,77.28999
Gagan Vihar,28.64665,77.2899
Corenthum Building,28.62774,77.29749
Residents Welfare Association,28.65115,77.28844
Aruna Park,28.63496,77.28194
Gupta Niwas,28.62468,77.29678
Ansal Vikas Deep Building,28.63825,77.2876
Maurya Co-Operative Group Housing Society,28.63473,77.30468
Rishabh Corporate Tower,28.64842,77.30203
Madhu Vihar,28.63544,77.30235
Pirendana Complex,28.63334,77.27936
Toshi House,28.62985,77.28521
Kakateeya Apartment-Alternate Gate,28.6321,77.30422
MK Sikka House,28.63453,77.28564
Sonalika International,28.64802,77.30246
Trang Apartment,28.62492,77.29257
Nagpal Apartments,28.64795,77.29137
JD Cambridge Building,28.62544,77.29884
Anjali New Brijpuri,28.64477,77.2824
Ankur Residency,28.63628,77.3041
Hira Wool House,28.63607,77.27942
